,Date,Start time,From city,To city,Number called (to/from),Call type,Duration
188,07-31-2019,6:55:02 PM,TORONTO ON,TORONTO ON,A_1,Outgoing,2
189,07-31-2019,11:54:15 AM,INCOMING ON,TORONTO ON,Unknown caller,Incoming,1
190,07-31-2019,10:28:31 AM,INCOMING ON,TORONTO ON,Unknown caller,Incoming,6
191,07-31-2019,9:53:51 AM,INCOMING ON,TORONTO ON,Unknown caller,Incoming,4
192,07-30-2019,4:02:18 PM,INCOMING ON,TORONTO ON,Unknown caller,Incoming,1
193,07-29-2019,4:48:15 PM,INCOMING ON,TORONTO ON,Unknown caller,Incoming,1
194,07-29-2019,10:29:13 AM,INCOMING ON,TORONTO ON,Unknown caller,Incoming,3
195,07-29-2019,9:05:14 AM,INCOMING ON,TORONTO ON,Unknown caller,Incoming,1
196,07-27-2019,6:25:16 PM,TORONTO ON,TORONTO ON,A_1,Outgoing,3
197,07-27-2019,6:19:49 PM,INCOMING ON,TORONTO ON,Unknown caller,Incoming,5
198,07-27-2019,6:10:16 PM,TORONTO ON,TORONTO ON,A_1,Outgoing,1
199,07-27-2019,5:56:18 PM,TORONTO ON,RICHMONDHL ON,B_2,Outgoing,4
200,07-27-2019,3:58:23 PM,TORONTO ON,RICHMONDHL ON,E_2,Outgoing,2
201,07-27-2019,3:57:47 PM,TORONTO ON,TORONTO ON,B_3,Outgoing,1
202,07-27-2019,12:18:03 PM,TORONTO ON,RICHMONDHL ON,E_2,Outgoing,1
203,07-27-2019,12:13:43 PM,TORONTO ON,RICHMONDHL ON,E_3,Outgoing,4
204,07-26-2019,6:43:40 PM,TORONTO ON,TORONTO ON,A_1,Outgoing,18
205,07-26-2019,10:22:46 AM,TORONTO ON,TORONTO ON,B_3,Outgoing,1
206,07-25-2019,10:36:05 AM,TORONTO ON,TORONTO ON,A_1,Outgoing,21
207,07-25-2019,10:29:45 AM,INCOMING ON,TORONTO ON,Unknown caller,Incoming,1
208,07-25-2019,10:29:23 AM,TORONTO ON,TORONTO ON,A_1,Outgoing,7
209,07-24-2019,12:16:06 PM,INCOMING ON,TORONTO ON,Unknown caller,Incoming,3
210,07-24-2019,12:00:37 PM,TORONTO ON,TORONTO ON,A_1,Outgoing,1
211,07-24-2019,11:59:11 AM,TORONTO ON,TORONTO ON,A_1,Outgoing,1
212,07-23-2019,7:34:40 PM,INCOMING ON,TORONTO ON,Unknown caller,Incoming,3
213,07-23-2019,7:16:17 PM,TORONTO ON,TORONTO ON,A_1,Outgoing,3
214,07-23-2019,7:14:36 PM,TORONTO ON,THORNHILL ON,E_4,Outgoing,1
215,07-23-2019,7:10:12 PM,TORONTO ON,TORONTO ON,A_1,Outgoing,4
216,07-23-2019,6:56:29 PM,INCOMING ON,TORONTO ON,Unknown caller,Incoming,1
217,07-23-2019,5:26:46 PM,TORONTO ON,TORONTO ON,A_1,Outgoing,11
218,07-23-2019,5:20:11 PM,TORONTO ON,TORONTO ON,A_1,Outgoing,7
219,07-23-2019,5:04:14 PM,TORONTO ON,TORONTO ON,A_1,Outgoing,16
220,07-22-2019,11:15:43 PM,INCOMING ON,TORONTO ON,Unknown caller,Incoming,13
221,07-22-2019,11:15:29 PM,TORONTO ON,TORONTO ON,A_4,Outgoing,1
222,07-22-2019,6:00:34 PM,TORONTO ON,TORONTO ON,A_1,Outgoing,2
223,07-22-2019,5:11:41 PM,TORONTO ON,TORONTO ON,A_1,Outgoing,49
224,07-22-2019,4:27:18 PM,TORONTO ON,TORONTO ON,A_1,Outgoing,3
225,07-22-2019,4:26:40 PM,TORONTO ON,TORONTO ON,A_1,Outgoing,1
226,07-22-2019,4:03:07 PM,TORONTO ON,TORONTO ON,E_5,Outgoing,1
227,07-22-2019,1:44:33 PM,TORONTO ON,TORONTO ON,B_3,Outgoing,3
228,07-22-2019,1:05:26 PM,INCOMING ON,TORONTO ON,Unknown caller,Incoming,40
229,07-22-2019,1:05:09 PM,TORONTO ON,TORONTO ON,B_3,Outgoing,1
230,07-22-2019,1:04:32 PM,TORONTO ON,TORONTO ON,A_1,Outgoing,1
231,07-22-2019,11:22:17 AM,INCOMING ON,TORONTO ON,Unknown caller,Incoming,1
232,07-22-2019,11:16:36 AM,TORONTO ON,TORONTO ON,B_3,Outgoing,1
233,07-22-2019,9:58:04 AM,TORONTO ON,TORONTO ON,B_3,Outgoing,1
234,07-21-2019,6:39:25 PM,TORONTO ON,866 SERV                 SERV 866 ON,F_1,Outgoing,17
235, 11-14-2019,7:09:44 PM,TORONTO ON,TORONTO ON,A_1,Outgoing,15
236, 11-14-2019,9:31:51 AM,INCOMING ON,TORONTO ON,Unknown caller,Incoming,1
237, 11-13-2019,9:03:23 AM,INCOMING ON,TORONTO ON,Unknown caller,Incoming,10
238, 11-13-2019,8:41:46 AM,INCOMING ON,TORONTO ON,Unknown caller,Incoming,19
239, 11-12-2019,12:17:02 PM,TORONTO ON,TORONTO ON,A_1,Outgoing,2
240, 11-12-2019,12:08:24 PM,TORONTO ON,TORONTO ON,A_1,Outgoing,7
241, 11-12-2019,10:23:49 AM,INCOMING ON,TORONTO ON,Unknown caller,Incoming,2
242, 11-12-2019,9:00:33 AM,TORONTO ON,TORONTO ON,A_5,Outgoing,25
243, 11-11-2019,6:39:12 PM,TORONTO ON,TORONTO ON,A_1,Outgoing,8
244, 11-11-2019,5:26:25 PM,TORONTO ON,TORONTO ON,A_1,Outgoing,1
245, 11-11-2019,5:25:56 PM,TORONTO ON,TORONTO ON,A_1,Outgoing,1
246, 11-11-2019,1:11:56 PM,INCOMING ON,TORONTO ON,Unknown caller,Incoming,5
247, 11-11-2019,12:38:11 PM,TORONTO ON,TORONTO ON,B_3,Outgoing,2
248, 11-11-2019,11:49:42 AM,TORONTO ON,OAK RIDGES ON,E_1,Outgoing,4
249, 11-10-2019,6:04:09 PM,TORONTO ON,TORONTO ON,B_3,Outgoing,2
250, 11-10-2019,6:02:58 PM,TORONTO ON,TORONTO ON,A_1,Outgoing,1
251, 11-10-2019,11:39:12 AM,INCOMING ON,TORONTO ON,Unknown caller,Incoming,2
252, 11-10-2019,8:06:41 AM,INCOMING ON,TORONTO ON,Unknown caller,Incoming,7
253, 11-09-2019,5:11:43 PM,TORONTO ON,TORONTO ON,A_1,Outgoing,13
254, 11-08-2019,12:15:27 PM,INCOMING ON,TORONTO ON,Unknown caller,Incoming,1
255, 11-08-2019,12:09:42 PM,TORONTO ON,RICHMONDHL ON,E_3,Outgoing,2
